Match_addr,X,Y,School_Nam,ESD,SD,County,School_Typ,School_T_1,ODE_Instit,Address,City_1,State,Site_Zipco,Site_Zip_1,Mail_Addre,Mail_City,Mail_State,Mail_Zipco,Mail_Zip_1,Phone_1,Phone_Fax,Email,Website,Participation2017,Participation2018,2017 Provider,Provider2018,2017 Grade,Grade 2018,2017 Students,Sudents 2018,2017 Days,Days 2018,Nights 2017,Nights 2018,2017 Actual Funds Per Student,2018 Actual Funds Per Student,2017 Total Funds,2018 Total Funds,Senate Districts,House Districts
"129 SE 15th Ave, Milton Freewater, Oregon, 97862",-118.3773693,45.9216075,Grove Elementary School,InterMountain,Milton-Freewater Unified SD 7,Umatilla,Elementary,Regular School,5295,129 SE 15th St,Milton-Freewater,OR,97862,1203,129 SE 15th St,Milton-Freewater,OR,97862,1203,541-938-3233,541-938-2100,ami.muilenburg@miltfree.k12.or.us,http://www.ges.miltfree.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 29,State House District 57
"235 Stansbury St, Heppner, Oregon, 97836",-119.5505315,45.35725689,Heppner Elementary School,InterMountain,Morrow SD 1,Morrow,Elementary,Supplemental Virtual,815,235 E Standsbury,Heppner,OR,97836,0,PO Box 367,Heppner,OR,97836,367,541-676-9128,541-676-5835,Matt.Combe@morrow.k12.or.us,http://hes.morrow.k12.or.us/,1,Yes,Tupper Work Center, ,6th,6th,17,20,4,4,3,3,276.06,277.2,4693.02,5544,State Senate District 29,State House District 57
"450 SE 10th St, Hermiston, Oregon, 97838",-119.2695194,45.83754921,Highland Hills Elementary School,InterMountain,Hermiston SD 8,Umatilla,Elementary,Supplemental Virtual,1034,450 SE 10th St,Hermiston,OR,97838,2072,450 SE 10th St,Hermiston,OR,97838,2072,541-667-6500,541-667-6550,brad.bixler@hermiston.k12.or.us,http://hhes.hermiston.k12.or.us,0,Yes, , , ,5th,0,89,0,3,0,2,0,70.33,0,6259.37,State Senate District 29,State House District 57
"445 Spring St, Ione, Oregon, 97843",-119.8288912,45.49891583,Ione Community Charter School,InterMountain,Ione SD R2,Morrow,Combined,Supplemental Virtual,3363,445 Spring St,Ione,OR,97843,0,PO Box 167,Ione,OR,97843,0,541-422-7131,541-422-7555,henry.ramirez@ione.k12.or.us,http://www.ione.k12.or.us,1,Yes,Tupper, ,6th,6th,12,15,4,4,3,3,357.46,389.79,4289.52,5846.85,State Senate District 29,State House District 57
"490 Wyoming, Irrigon, Oregon, 97844",-119.5101811,45.88665112,Irrigon Elementary School,InterMountain,Morrow SD 1,Morrow,Elementary,Regular School,4048,490 SE Wyoming,Irrigon,OR,97844,7222,490 SE Wyoming,Irrigon,OR,97844,7222,541-922-2421,541-922-2421,erin.stocker@morrow.k12.or.us,http://ies.morrow.k12.or.us/,1,Yes,"Camp Hancook / Fossil, Oregon", ,6th,6th,62,48,3,3,2,2,170.63,220.57,10579.06,10587.36,State Senate District 29,State House District 57
"120 Columbia Blvd, Umatilla, Oregon, 97882",-119.295111,45.91888116,McNary Heights Elementary School,InterMountain,Umatilla SD 6R,Umatilla,Elementary,Regular School,1032,120 Columbia Ave,Umatilla,OR,97882,131,120 Columbia Ave,Umatilla,OR,97882,131,541-922-6650,541-922-6599,bob.lorence@umatillasd.org,http://mhes.umatilla.k12.or.us/home,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 29,State House District 57
"650 W Standard Ave, Hermiston, Oregon, 97838",-119.2993273,45.84416266,Rocky Heights Elementary School,InterMountain,Hermiston SD 8,Umatilla,Elementary,Supplemental Virtual,1036,650 W Standard Ave,Hermiston,OR,97838,1297,650 W Standard Ave,Hermiston,OR,97838,1297,541-667-6600,541-667-6650,jerad.farley@hermiston.k12.or.us,http://rhes.hermiston.k12.or.us,0,Yes, , , ,5th,0,90,0,3,0,2,0,75.7,0,6813,State Senate District 29,State House District 57
"301 SW Wilson Ln, Boardman, Oregon, 97818",-119.7039001,45.8279425,Sam Boardman Elementary School,InterMountain,Morrow SD 1,Morrow,Elementary,Regular School,814,301 SW Wilson Ln,Boardman,OR,97818,8049,301 SW Wilson Ln,Boardman,OR,97818,8049,541-481-7383,541-481-2046,sarah.kimmell@morrow.k12.or.us,http://sbe.morrow.k12.or.us/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 29,State House District 57
"400 NE 10th St, Hermiston, Oregon, 97838",-119.2693526,45.84276793,Sandstone Middle School,InterMountain,Hermiston SD 8,Umatilla,Middle,Supplemental Virtual,1333,400 NE 10th St,Hermiston,OR,97838,2077,400 NE 10th St,Hermiston,OR,97838,2077,541-667-6300,541-667-6350,larry.usher@hermiston.k12.or.us,http://sms.hermiston.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 29,State House District 57
"65912 High School Loop, Moro, Oregon, 97039",-120.7405506,45.47406324,Sherman County School,North Central,Sherman County SD,Sherman,Combined,Supplemental Virtual,1010,65912 High School Lp,Moro,OR,97039,3020,65912 High School Lp,Moro,OR,97039,3020,541-565-3500,541-565-3319,bblevins@sherman.k12.or.us,http://sjshs.weebly.com/index.html,1,Yes,"Tupper Guard Station, Heppner, OR", ,6th,6th,14,26,5,5,4,4,322.57,310.47,4515.98,8072.22,State Senate District 29,State House District 57
"1120 N Main St, Stanfield, Oregon, 97875",-119.2268531,45.7948852,Stanfield Elementary School,InterMountain,Stanfield SD 61,Umatilla,Elementary,Regular School,1060,1120 N Main St,Stanfield,OR,97875,9700,1120 N Main St,Stanfield,OR,97875,9700,541-449-3305,541-449-8772,shelley.liscom@stanfield.k12.or.us,http://www.stanfield.k12.or.us,1,Yes,Forest Service-Heppner Ranger District, ,5th,5th,33,32,4,4,3,3,5261.25,156.94,173621.25,5022.08,State Senate District 29,State House District 57
"300 E Catherine Ave, Hermiston, Oregon, 97838",-119.286779,45.84451643,Sunset Elementary School,InterMountain,Hermiston SD 8,Umatilla,Elementary,Supplemental Virtual,1037,300 E Catherine Ave,Hermiston,OR,97838,1889,300 E Catherine Ave,Hermiston,OR,97838,1889,541-667-6700,541-667-6750,devin.grigg@hermiston.k12.or.us,http://ses.hermiston.k12.or.us,0,Yes, , , ,5th,0,98,0,3,0,2,0,65.56,0,6424.88,State Senate District 29,State House District 57
"555 SW 7th St, Hermiston, Oregon, 97838",-119.3006006,45.83682115,West Park Elementary School,InterMountain,Hermiston SD 8,Umatilla,Elementary,Supplemental Virtual,1038,555 SW 7th St,Hermiston,OR,97838,2298,555 SW 7th St,Hermiston,OR,97838,2298,541-667-6800,541-667-6850,kevin.headings@hermiston.k12.or.us,http://wpes.hermiston.k12.or.us,0,Yes, , , ,5th,0,99,0,3,0,2,0,68.37,0,6768.63,State Senate District 29,State House District 57
"500 Tatone St, Boardman, Oregon, 97818",-119.7029694,45.82796991,Windy River Elementary School,InterMountain,Morrow SD 1,Morrow,Elementary,Supplemental Virtual,4047,500 Tatone St,Boardman,OR,97818,8057,500 Tatone St,Boardman,OR,97818,8057,541-481-2526,541-481-3264,brandon.hammond@morrow.k12.or.us,http://wre.morrow.k12.or.us/,1,Yes,"Camp Gray, Newport",OMSI,6th,6th,51,80,3,3,2,2,151.38,220.25,7720.38,17620,State Senate District 29,State House District 57
"8401 SW 17th Ave, Portland, Oregon, 97219",-122.6952353,45.46408169,Capitol Hill Elementary School,Multnomah,Portland SD 1J,Multnomah,Elementary,Regular School,838,8401 SW 17th Ave,Portland,OR,97219,4197,8401 SW 17th Ave,Portland,OR,97219,4197,503-916-6303,503-916-2616,joywilliams@pps.net,http://www.pps.k12.or.us/schools/capitolhill,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 19,State House District 38
"1133 Andrews Rd, Lake Oswego, Oregon, 97034",-122.6762314,45.42561123,Forest Hills Elementary School,Clackamas,Lake Oswego SD 7J,Clackamas,Elementary,Regular School,53,1133 SW Andrews Rd,Lake Oswego,OR,97034,1799,1133 SW Andrews Rd,Lake Oswego,OR,97034,1799,503-534-2350,503-534-2234,Amy.Blakey@loswego.k12.or.us,http://fh.loswego.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 19,State House District 38
"16800 Hawthorne Dr, Lake Oswego, Oregon, 97034",-122.66408,45.40405888,Hallinan Elementary School,Clackamas,Lake Oswego SD 7J,Clackamas,Elementary,Regular School,54,16800 Hawthorne Dr,Lake Oswego,OR,97034,6349,16800 Hawthorne Dr,Lake Oswego,OR,97034,6349,503-534-2353,503-534-2251,sara.deboy@loswego.k12.or.us,http://hal.loswego.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 19,State House District 38
"10625 SW 35th Ave, Portland, Oregon, 97219",-122.714555,45.448503,Jackson Middle School,Multnomah,Portland SD 1J,Multnomah,Middle,Regular School,1277,10625 SW 35th Ave,Portland,OR,97219,6960,10625 SW 35th,Portland,OR,97219,6960,503-916-5680,503-916-2640,kevinc@pps.net,http://www.pps.k12.or.us/schools/jackson,1,Yes,"Angelos/SR, Arrah Wanna, Canby Grove, Howard, Namanu", ,6th,6th,234,241,6,6,5,5,416.04,556.28,97353.36,134063.48,State Senate District 19,State House District 38
"15777 Boones Ferry Rd, Lake Oswego, Oregon, 97035",-122.719787,45.41201302,Lake Grove Elementary School,Clackamas,Lake Oswego SD 7J,Clackamas,Elementary,Regular School,55,15777 SW Boones Ferry Rd,Lake Oswego,OR,97035,4098,15777 SW Boones Ferry Rd,Lake Oswego,OR,97035,4098,503-534-2357,503-534-2388,carol.whitten@loswego.k12.or.us,http://lg.loswego.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 19,State House District 38
"2500 Country Club Rd, Lake Oswego, Oregon, 97034",-122.7017891,45.42478347,Lake Oswego Junior High,Clackamas,Lake Oswego SD 7J,Clackamas,Middle,Regular School,59,2500 SW Country Club Rd,Lake Oswego,OR,97034,2099,2500 SW Country Club Rd,Lake Oswego,OR,97034,2099,503-534-2335,503-534-2341,Robert.Caplinger@loswego.k12.or.us,http://loj.loswego.k12.or.us,0,Yes, , , ,6th,0,268,0,4,0,3,0,220.74,0,59158.32,State Senate District 19,State House District 38
"4700 Jean Rd, Lake Oswego, Oregon, 97035",-122.725683,45.3969825,Lakeridge Junior High,Clackamas,Lake Oswego SD 7J,Clackamas,Middle,Regular School,60,4700 SW Jean Rd,Lake Oswego,OR,97035,7199,4700 SW Jean Rd,Lake Oswego,OR,97035,7199,503-534-2343,503-534-2276,kurt.schultz@loswego.k12.or.us,http://ljh.loswego.k12.or.us,0,Yes, , , ,6th,0,254,0,4,0,3,0,220.94,0,56118.76,State Senate District 19,State House District 38
"10531 SW Capitol Hwy, Portland, Oregon, 97219",-122.725401,45.44925201,Markham Elementary School,Multnomah,Portland SD 1J,Multnomah,Elementary,Regular School,1278,10531 SW Capitol Hwy,Portland,OR,97219,6812,10531 SW Capitol Hwy,Portland,OR,97219,6812,503-916-5681,503-916-2655,sgarnett@pps.net,http://www.pps.k12.or.us/schools/markham,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 19,State House District 38
"55 Kingsgate Rd, Lake Oswego, Oregon, 97035",-122.729441,45.42717102,Oak Creek Elementary School,Clackamas,Lake Oswego SD 7J,Clackamas,Elementary,Regular School,1288,55 Kingsgate,Lake Oswego,OR,97035,1345,55 Kingsgate,Lake Oswego,OR,97035,1345,503-534-2323,503-534-2257,lilian.sarlos@loswego.k12.or.us,http://oce.loswego.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 19,State House District 38
"1405 SW Vermont St, Portland, Oregon, 97219",-122.689991,45.47726102,Rieke Elementary School,Multnomah,Portland SD 1J,Multnomah,Elementary,Regular School,1299,1405 SW Vermont St,Portland,OR,97219,2069,1405 SW Vermont,Portland,OR,97219,2069,503-916-5768,503-916-2666,rtorres@pps.net,http://www.pps.k12.or.us/schools/rieke,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 19,State House District 38
"11733 SW Breyman Ave, Portland, Oregon, 97219",-122.6558323,45.4400812,Riverdale Grade School,Multnomah,Riverdale SD 51J,Multnomah,Elementary,Regular School,985,11733 SW Breyman Ave,Portland,OR,97219,8409,11733 SW Breyman Ave,Portland,OR,97219,8409,503-262-4842,503-635-7534,jtobin@riverdale.k12.or.us,http://www.riverdaleschool.com,1,Yes,"Canby Grove, Howard", ,6th,6th,49,49,6,6,5,5,492.84,549.24,24149.16,26912.76,State Senate District 19,State House District 38
"2627 SW Stephenson St, Portland, Oregon, 97219",-122.7039247,45.44018539,Stephenson Elementary School,Multnomah,Portland SD 1J,Multnomah,Elementary,Regular School,892,2627 SW Stephenson St,Portland,OR,97219,8285,2627 SW Stephenson St,Portland,OR,97219,8285,503-916-6318,503-916-2675,cgalindo@pps.net,http://www.pps.k12.or.us/schools/stephenson,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 19,State House District 38
"3400 Royce Way, Lake Oswego, Oregon, 97034",-122.7117228,45.39587312,Westridge Elementary School,Clackamas,Lake Oswego SD 7J,Clackamas,Elementary,Regular School,58,3400 Royce Way,Lake Oswego,OR,97034,7399,3400 Royce Way,Lake Oswego,OR,97034,7399,503-534-2371,503-534-2373,<Null>,http://wr.loswego.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 19,State House District 38
"2520 NW Brockway Rd, Winston, Oregon, 97496",-123.4397277,43.12399053,Brockway Elementary School,Douglas,Winston-Dillard SD 116,Douglas,Elementary,Regular School,3624,2520 NW Brockway Rd,Winston,OR,97496,9646,2520 NW Brockway Rd,Winston,OR,97496,9646,541-679-3037,541-679-3051,dwightk@wdsd.org,http://www.wdsd.org/BES,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 1,State House District 2
"124 N Main St, Canyonville, Oregon, 97417",-123.2801565,42.92883049,Canyonville School,Douglas,South Umpqua SD 19,Douglas,Elementary,Regular School,289,124 N Main,Canyonville,OR,97417,0,PO Box 745,Canyonville,OR,97417,745,541-839-4396,541-839-6528,brody.guthrie@susd.k12.or.us,http://www.susd.k12.or.us/schools/cve,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 1,State House District 2
"591 NE Rice St, Myrtle Creek, Oregon, 97457",-123.2821698,43.0290475,Coffenberry Middle School,Douglas,South Umpqua SD 19,Douglas,Middle,Supplemental Virtual,291,591 NE Rice,Myrtle Creek,OR,97457,9622,591 NE Rice,Myrtle Creek,OR,97457,9622,541-863-3104,541-863-5187,<Null>,http://www.susd.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 1,State House District 2
"11381 Tiller Trail Hwy, Days Creek, Oregon, 97429",-123.1629676,42.96981955,Days Creek Charter School,Douglas,Douglas County SD 15,Douglas,Combined,Supplemental Virtual,3348,11381 Tiller Trail Hwy,Days Creek,OR,97429,0,PO Box 10,Days Creek,OR,97429,0,541-825-3296,541-825-3052,mark.angle@dayscreek.k12.or.us,http://www.dayscreekschools.com,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 1,State House District 2
"2550 SE Waldon Ave, Roseburg, Oregon, 97470",-123.3199912,43.20715745,Eastwood Elementary School,Douglas,Douglas County SD 4,Douglas,Elementary,Regular School,269,2550 SE Waldon Ave,Roseburg,OR,97470,3899,2550 SE Waldon Ave,Roseburg,OR,97470,3899,541-440-4181,541-440-4182,nopp@roseburg.k12.or.us,http://www.roseburg.k12.or.us/eastwood,0,Yes, , , ,5th,0,74,0,3,0,2,0,185.55,0,13730.7,State Senate District 1,State House District 2
"1360 W Harvard Ave, Roseburg, Oregon, 97471",-123.3649479,43.21407692,Fir Grove Elementary School,Douglas,Douglas County SD 4,Douglas,Elementary,Regular School,270,1360 W Harvard Ave,Roseburg,OR,97470,2865,1360 W Harvard Ave,Roseburg,OR,97470,2865,541-440-4085,541-440-4086,ldickover@roseburg.k12.or.us,http://www.roseburg.k12.or.us/firgrove,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 1,State House District 2
"6001 Monument Dr, Grants Pass, Oregon, 97526",-123.374261,42.50683901,Fleming Middle School,Southern OR,Three Rivers/Josephine County SD,Josephine,Middle,Supplemental Virtual,444,6001 Monument Dr,Grants Pass,OR,97526,8515,6001 Monument Dr,Grants Pass,OR,97526,8515,541-476-8284,541-471-2458,sid.hobgood@threerivers.k12.or.us,http://www.threerivers.k12.or.us,1,Yes,"Williams, OR �97544",OMSI,6th,6th,91,100,3,3,2,2,342.15,317.91,31135.65,31791,State Senate District 1,State House District 2
"2560 W Bradford Ave, Roseburg, Oregon, 97471",-123.38117,43.21669744,Fullerton IV Elementary School,Douglas,Douglas County SD 4,Douglas,Elementary,Regular School,271,2560 W Bradford Ave,Roseburg,OR,97470,2525,2560 W Bradford Ave,Roseburg,OR,97470,2525,541-440-4081,541-440-4082,khanson@roseburg.k12.or.us,http://www.roseburg.k12.or.us/fullerton,0,Yes, , , ,5th,0,70,0,3,0,2,0,211.35,0,14794.5,State Senate District 1,State House District 2
"10598 Azalea-Glen Rd, Glendale, Oregon, 97442",-123.4147116,42.74326231,Glendale K-8 Elementary School,Douglas,Glendale SD 77,Douglas,Combined,Supplemental Virtual,307,10598 Azalea Glen Rd,Glendale,OR,97442,0,PO Box E,Glendale,OR,97442,605,541-832-1801,541-832-2486,brenyl.swanson@glendale.k12.or.us,http://www.glendale.k12.or.us,1,No,Unsure, ,5th, ,22,0,3,0,2,0,250.27,0,5505.94,0,State Senate District 1,State House District 2
"4498 Carnes Rd, Roseburg, Oregon, 97471",-123.3814565,43.14948313,Green Elementary School,Douglas,Douglas County SD 4,Douglas,Elementary,Regular School,272,4498 SW Carnes Rd,Roseburg,OR,97470,4699,4498 SW Carnes Rd,Roseburg,OR,97470,4699,541-440-4127,541-440-4017,kgarcia@roseburg.k12.or.us,http://www.roseburg.k12.or.us/green,1,Yes,Camp Kellogg,Camp Kellogg,5th,5th,36,54,3,3,2,2,132.74,101.03,4778.64,5455.62,State Senate District 1,State House District 2
"1810 NW Kline St, Roseburg, Oregon, 97471",-123.3803977,43.23078884,Hucrest Elementary School,Douglas,Douglas County SD 4,Douglas,Elementary,Regular School,273,1810 NW Kline St,Roseburg,OR,97470,1735,1810 NW Kline St,Roseburg,OR,97470,1735,541-440-4188,541-440-4191,dfreeman@roseburg.k12.or.us,http://www.roseburg.k12.or.us/hucrest,1,Yes,Camp Kellogg,Camp Kellogg,5th,5th,70,82,3,3,2,2,133.96,153.97,9377.2,12625.54,State Senate District 1,State House District 2
"850 W Keady Ct, Roseburg, Oregon, 97471",-123.3707277,43.21239086,John C Fremont Middle School,Douglas,Douglas County SD 4,Douglas,Middle,Regular School,278,850 W Keady Ct,Roseburg,OR,97470,2796,850 W Keady Ct,Roseburg,OR,97470,2796,541-440-4055,541-440-4060,bbentea@roseburg.k12.or.us,http://www.roseburg.k12.or.us/fremont,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 1,State House District 2
"2153 NE Vine St, Roseburg, Oregon, 97470",-123.3472924,43.23489032,Joseph Lane Middle School,Douglas,Douglas County SD 4,Douglas,Middle,Regular School,279,2153 NE Vine St,Roseburg,OR,97470,1599,2153 NE Vine St,Roseburg,OR,97470,1599,541-440-4104,541-440-4100,bbartlett@roseburg.k12.or.us,http://www.roseburg.k12.or.us/jolane,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 1,State House District 2
"310 San Francisco St, Grants Pass, Oregon, 97526",-123.3720108,42.50594562,Manzanita Elementary School,Southern OR,Three Rivers/Josephine County SD,Josephine,Elementary,Regular School,451,310 San Francisco St,Grants Pass,OR,97526,7897,310 San Francisco St,Grants Pass,OR,97526,7897,541-479-6433,541-471-2450,renee.hults@threerivers.k12.or.us,http://www.threerivers.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 1,State House District 2
"600 NW Elwood Dr, Winston, Oregon, 97496",-123.4224231,43.12152835,McGovern Elementary School,Douglas,Winston-Dillard SD 116,Douglas,Elementary,Regular School,311,600 NW Elwood,Winston,OR,97496,8568,600 NW Elwood,Winston,OR,97496,8568,541-679-3003,541-679-3027,pinkertone@wdsd.org,http://www.wdsd.org,0,Yes, , , ,5th and 6th,0,114,0,5,0,4,0,454.19,0,51777.66,State Senate District 1,State House District 2
"651 NE Division St, Myrtle Creek, Oregon, 97457",-123.2799,43.02750749,Myrtle Creek Elementary School,Douglas,South Umpqua SD 19,Douglas,Elementary,Regular School,290,651 NE Division,Myrtle Creek,OR,97457,9698,651 NE Division,Myrtle Creek,OR,97457,9698,541-863-3168,541-863-5185,beverly.krystosek@susd.k12.or.us,http://www.susd.k12.or.us/schools/mce,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 1,State House District 2
"3131 NE Diamond Lake Blvd, Roseburg, Oregon, 97470",-123.3105099,43.21295249,Phoenix Charter  School,Douglas,Douglas County SD 4,Douglas,Combined,Charter,4391,3131 NE Diamond Lake Blvd,Roseburg,OR,97470,0,3131 NE Diamond Lake Blvd,Roseburg,OR,97470,0,541-673-3036,<Null>,rbreyne@douglasfast.net,http://www.phoenixroseburg.com,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 1,State House District 2
"5th Ave & Park St, Riddle, Oregon, 97469",-123.3625799,42.95446004,Riddle Elementary School,Douglas,Riddle SD 70,Douglas,Elementary,Supplemental Virtual,304,Fifth & Park Sts,Riddle,OR,97469,0,Fifth & Park Sts,Riddle,OR,97469,0,541-874-2226,541-874-3265,dave.gianotti@riddle.k12.or.us,http://www.edlinesites.net/pages/Riddle_Elementary_School,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 1,State House District 2
"948 SE Roberts Ave, Roseburg, Oregon, 97470",-123.3491201,43.20105652,Rose Elementary School,Douglas,Douglas County SD 4,Douglas,Elementary,Regular School,275,948 SE Roberts Ave,Roseburg,OR,97470,4299,948 SE Roberts Ave,Roseburg,OR,97470,4299,541-464-6426,<Null>,<Null>,http://www.roseburg.k12.or.us/depts/ss/alted/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 1,State House District 2
